product_id,product_name,product_description,product_thumbnail,brand,standard_price,dimension,created_at,modified_at
11,"Daikin 1 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2023 M...","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",https://m.media-amazon.com/images/I/51Nff1pJMqL._AC_UL320_.jpg,Daikin,106,140.0 x 9.79 x 89.93,2017-06-09 12:09:35,2017-10-22 19:33:14
12,"Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM50U, White)","Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",https://m.media-amazon.com/images/I/41BgAG0qRaL._AC_UL320_.jpg,Daikin,185,116.1 x 52.07 x 41.86,2016-04-02 20:39:28,2016-08-16 04:03:07
13,"Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Wa...","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg,Panasonic,351,98.3 x 76.0 x 51.22,2022-12-26 05:14:08,2023-05-10 12:37:47
14,"Carrier 1.5 Ton 5 Star AI Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Dual Filtration with HD & PM 2.5...","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",https://m.media-amazon.com/images/I/61JtwWcAcoL._AC_UL320_.jpg,Carrier,504,29.5 x 99.99 x 99.43,2016-05-08 16:12:09,2016-09-20 23:35:48
15,"Whirlpool 1.5 Ton 3 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3K1...","In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",https://m.media-amazon.com/images/I/51vyGNOskVL._AC_UL320_.jpg,Whirlpool,619,128.7 x 93.39 x 68.65,2019-03-11 12:41:17,2019-07-24 20:04:56
16,"Samsung 1.5 Ton 3 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2023 ...","In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",https://m.media-amazon.com/images/I/51dPET0mdFL._AC_UL320_.jpg,Samsung,68,64.7 x 22.65 x 58.16,2017-12-13 03:47:09,2018-04-27 11:10:48
17,"Lloyd 1.0 Ton 5 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Chr...","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",https://m.media-amazon.com/images/I/31IXlxIPsOL._AC_UL320_.jpg,Lloyd,185,104.6 x 60.2 x 5.11,2017-05-27 07:47:11,2017-10-09 15:10:50
18,"Godrej 1.5 Ton 5 Star 5-In-1 Convertible, Inverter Split AC (100% Copper, Heavy Duty Cooling at 52°C, 2023 Model,AC 1.5T E...","Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",https://m.media-amazon.com/images/I/51HEnpDyVpL._AC_UL320_.jpg,Godrej,478,44.1 x 73.74 x 96.76,2022-03-08 21:11:32,2022-07-22 04:35:11
19,"Godrej 1 Ton 3 Star Inverter Split Ac Model 2023 (100% Copper,5-In-1 Convertible, Ac 1T Ei 12Tinv3R32-Gwa Split, White)","In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",https://m.media-amazon.com/images/I/41kGqW4aeML._AC_UL320_.jpg,Godrej,692,108.0 x 83.24 x 42.2,2016-01-09 23:49:32,2016-05-24 07:13:11
20,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, MTKL...","Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",https://m.media-amazon.com/images/I/41O8pnwGG+L._AC_UL320_.jpg,Daikin,421,173.7 x 82.74 x 2.43,2020-07-03 04:51:25,2020-11-15 12:15:04
21,"Blue Star 1.5 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper, Multi Sensors, Stabalizer Free Operation, D...",Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,https://m.media-amazon.com/images/I/515BpZfhH1L._AC_UL320_.jpg,Blue Star,210,165.1 x 70.08 x 6.91,2022-09-05 13:33:45,2023-01-18 20:57:24
22,"LG 1.5 Ton 2 Star DUAL Inverter Split AC (Copper, Convertible 4-in-1 Cooling, HD Filter with Anti-virus Protection, 2023 M...",Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,https://m.media-amazon.com/images/I/511JKTNA+7L._AC_UL320_.jpg,LG,389,146.8 x 55.68 x 30.02,2021-12-06 19:54:21,2022-04-21 03:18:00
23,"LG 1.5 Ton 4 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protectio...","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,LG,665,146.2 x 59.34 x 13.33,2016-04-07 14:33:22,2016-08-20 21:57:01
24,"Panasonic 1 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way ...","Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg,Panasonic,166,141.1 x 23.67 x 49.11,2022-05-29 11:56:40,2022-10-11 19:20:19
25,"Lloyd 1.5 Ton 3 Star Fixed Speed Window Ac (Copper, 2023 Model, White With Silver Deco Strip, Glw18C3Ywsew)",Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,https://m.media-amazon.com/images/I/81qXJbtSA6L._AC_UL320_.jpg,Lloyd,583,24.3 x 52.01 x 56.64,2020-01-08 11:49:52,2020-05-22 19:13:31
26,"Samsung 1.5 Ton 5 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-Bacteria, 2023 Model AR18CYNZABE W...","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",https://m.media-amazon.com/images/I/51XI2FLjJ4L._AC_UL320_.jpg,Samsung,478,62.6 x 84.74 x 19.11,2021-11-03 00:12:34,2022-03-18 07:36:13
27,"Voltas 1.5 Ton 5 Star, Inverter Window AC (Copper, 2-in-1 Adjustable Mode, 2023 Model, 185V Vertis Elite, White)","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",https://m.media-amazon.com/images/I/61suRUG6A+L._AC_UL320_.jpg,Voltas,622,156.7 x 10.83 x 95.44,2017-08-02 12:54:03,2017-12-15 20:17:42
28,"Samsung 1 Ton 3 Star Inverter Split Ac (Copper, Convertible 5-In-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2023 Mo...","Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",https://m.media-amazon.com/images/I/51iSjRHY6EL._AC_UL320_.jpg,Samsung,393,104.3 x 17.36 x 96.74,2021-02-20 04:30:06,2021-07-05 11:53:45
29,"LG 1.0 Ton 5 Star DUAL Inverter Wi-Fi Window AC (Copper, Convertible 4-in-1 cooling, PW-Q12WUZA, 2022 Model, HD Filter, Wh...","In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",https://m.media-amazon.com/images/I/71WuTUFvmUL._AC_UL320_.jpg,LG,322,7.6 x 58.51 x 63.26,2019-10-23 22:25:11,2020-03-07 05:48:50
30,"Godrej 1.5 Ton 3 Star 5-In-1 Convertible, Inverter Split AC (100% Copper,I-Sense, 2023 Model, AC 1.5T EI 18TINV3R32-GWA/AC...","Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",https://m.media-amazon.com/images/I/41kGqW4aeML._AC_UL320_.jpg,Godrej,58,133.8 x 77.37 x 91.75,2017-05-01 05:33:43,2017-09-13 12:57:22
31,"Voltas 2 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 243V Vectra Elite, Wh...","Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,Voltas,315,166.4 x 48.42 x 30.97,2017-08-22 07:26:29,2018-01-04 14:50:08
32,"Samsung 1.5 Ton 3 Star Wi-fi Enabled, Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Ant...",Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,https://m.media-amazon.com/images/I/71kIl8z3SJL._AC_UL320_.jpg,Samsung,95,129.7 x 27.04 x 81.3,2016-08-04 02:02:06,2016-12-17 09:25:45
33,"Whirlpool 1.0 Ton 3 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3K1...","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",https://m.media-amazon.com/images/I/51vyGNOskVL._AC_UL320_.jpg,Whirlpool,557,198.2 x 48.62 x 55.43,2020-05-26 10:28:16,2020-10-08 17:51:55
34,"Whirlpool 1.5 Ton 5 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I3...","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",https://m.media-amazon.com/images/I/51xzmzjFS7L._AC_UL320_.jpg,Whirlpool,176,194.0 x 18.63 x 64.08,2016-09-24 23:14:59,2017-02-07 06:38:38
35,"Voltas 0.8 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 103V Vectra Elite, ...","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,Voltas,563,40.2 x 11.81 x 47.54,2016-05-08 21:49:59,2016-09-21 05:13:38
36,"LG 0.8 Ton 3 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti Virus protectio...","Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,LG,172,49.7 x 35.2 x 96.36,2017-06-30 19:18:43,2017-11-13 02:42:22
37,"Daikin 1 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM35U, White)","Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",https://m.media-amazon.com/images/I/41BgAG0qRaL._AC_UL320_.jpg,Daikin,443,38.9 x 62.28 x 94.88,2016-03-28 23:27:38,2016-08-11 06:51:17
38,"Blue Star 1 Ton Fixed Speed Portable AC (Copper, Anti Bacterial Silver Coating, Self Diagnosis, Comfort Sleep Modes-Auto/C...","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",https://m.media-amazon.com/images/I/51eMr0B-93L._AC_UL320_.jpg,Blue Star,529,103.5 x 51.71 x 67.44,2020-09-24 00:18:33,2021-02-06 07:42:12
39,"Blue Star 1 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydrop...","In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",https://m.media-amazon.com/images/I/715XgfIJDuL._AC_UL320_.jpg,Blue Star,230,47.8 x 11.67 x 56.84,2020-04-17 15:56:03,2020-08-30 23:19:42
40,"Panasonic 1.5 Ton 3 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, PM ...","Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",https://m.media-amazon.com/images/I/61PWjQFDtQL._AC_UL320_.jpg,Panasonic,127,166.2 x 75.16 x 27.55,2019-04-11 21:41:40,2019-08-25 05:05:19
41,"Samsung 1 Ton 3 Star Wi-fi Enabled, Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-...","In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",https://m.media-amazon.com/images/I/71IWBYDJbHL._AC_UL320_.jpg,Samsung,361,186.8 x 6.9 x 30.64,2016-11-12 01:54:52,2017-03-27 09:18:31
42,"Daikin 1.5 Ton 3 Star Fixed Speed Split AC (Copper, PM 2.5 Filter, 2022 Model, FTL50U, White)","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",https://m.media-amazon.com/images/I/410ih0eEMfL._AC_UL320_.jpg,Daikin,622,99.9 x 69.9 x 35.16,2017-01-27 03:53:57,2017-06-11 11:17:36
43,"Carrier 1.5 Ton 3 Star Fixed Speed Window AC( Copper,High Density Filter for Dust Filtration, 2Way Air Directional Contro...","Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",https://m.media-amazon.com/images/I/717wB+IneGL._AC_UL320_.jpg,Carrier,686,9.5 x 84.02 x 39.74,2017-08-28 03:01:36,2018-01-10 10:25:15
44,"IFB 1.5 Ton 3 Star Heavy Duty Inverter Split AC (Copper, Convertible Flexi 8-in-1 Cooling, PM 0.3 Filter, 2022 Model, CI18...","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",https://m.media-amazon.com/images/I/41XbbkCXXzL._AC_UL320_.jpg,IFB,149,126.1 x 81.36 x 78.05,2019-12-11 13:07:29,2020-04-24 20:31:08
45,"Blue Star 0.8 Ton 3 Star Inverter Split Ac (Copper, Turbo Cool, Gold Fins, Comfort Sleep, Self Clean Technology, Multi Sen...","Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",https://m.media-amazon.com/images/I/51k0NvUmYLL._AC_UL320_.jpg,Blue Star,666,12.7 x 7.81 x 73.38,2017-04-01 04:30:35,2017-08-14 11:54:14
46,"Carrier 2 Ton 5 Star AI Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Dual Filtration with HD & PM 2.5 F...","Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",https://m.media-amazon.com/images/I/61JtwWcAcoL._AC_UL320_.jpg,Carrier,662,16.7 x 58.31 x 88.66,2021-12-22 00:26:38,2022-05-06 07:50:17
47,"Blue Star 1 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper, Multi Sensors, Stabalizer Free Operation, Dus...","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",https://m.media-amazon.com/images/I/51FETwYY9SL._AC_UL320_.jpg,Blue Star,204,66.3 x 70.88 x 66.89,2018-05-08 10:01:12,2018-09-20 17:24:51
48,"Cruise 1.5 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, 2022 ...","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",https://m.media-amazon.com/images/I/41wle1II8xL._AC_UL320_.jpg,Cruise,512,154.8 x 23.44 x 49.84,2021-06-09 03:06:09,2021-10-22 10:29:48
49,"AmazonBasics 1.5 Ton 5 Star Inverter Split AC (White, Air Purifier, Copper)","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",https://m.media-amazon.com/images/I/71Gij6Cos4L._AC_UL320_.jpg,AmazonBasics,671,158.6 x 24.11 x 93.52,2021-01-02 00:41:28,2021-05-17 08:05:07
